[  0%]                 parameters.f90
[  9%]                 parameters.f90  done.
[  9%]                     optMod.f90
[ 18%]                     optMod.f90  done.
[ 18%]              firmValueIter.f90
[ 27%]              firmValueIter.f90  done.
[ 27%]                    distMod.f90
[ 36%]                    distMod.f90  done.
[ 36%]           firmDistribution.f90
[ 45%]           firmDistribution.f90  done.
[ 45%]           calibrationStats.f90
[ 54%]           calibrationStats.f90  done.
[ 54%]           economybisection.f90
[ 63%]           economybisection.f90  done.
[ 63%]            UsedKCollateral.f90
[ 72%]            UsedKCollateral.f90  done.
[ 72%]           libUsedKCollateral.a
[ 81%]           libUsedKCollateral.a  done.
[ 81%]                       main.f90
[ 90%]                       main.f90  done.
[ 90%]                UsedKCollateral
[100%]                UsedKCollateral  done.
[100%] Project compiled successfully.
 Start!

 Run KT13 Replication


****************************************
Bisection initization at wlow:    1.0400
****************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
====================================================================================
   1        3.240068E+02        5.000000E-02        4.675000E-02        5.000000E-02
   2        8.123859E-01        5.560000E+00        4.675000E-02        5.610000E+00
   3        4.558189E-01        1.042988E+00        4.675000E-02        5.610000E+00
   4        2.920621E-01        3.575960E-01        2.387312E-01        5.610000E+00
   5        2.041294E-01        9.933222E-02        2.486644E-01        5.610000E+00
   6        1.517433E-01        5.959933E-02        2.486644E-01        5.610000E+00
   7        1.179319E-01        2.979967E-02        2.486644E-01        5.610000E+00
   8        9.464983E-02        1.986644E-02        2.486644E-01        5.610000E+00
   9        7.774798E-02        9.933222E-03        2.486644E-01        5.610000E+00
  10        6.488558E-02        4.090772E-11        2.486644E-01        5.610000E+00
  11        5.475153E-02        9.933222E-03        2.486644E-01        5.610000E+00
  12        4.656038E-02        8.075318E-11        2.486644E-01        5.610000E+00
  13        3.980760E-02        4.809353E-11        2.486644E-01        5.610000E+00
  14        3.415733E-02        1.381095E-11        2.486644E-01        5.610000E+00
  15        2.937935E-02        1.522071E-11        2.486644E-01        5.610000E+00
  16        2.530942E-02        2.462608E-11        2.486644E-01        5.610000E+00
  17        2.182556E-02        2.462608E-11        2.486644E-01        5.610000E+00
  18        1.883380E-02        9.456347E-11        2.486644E-01        5.610000E+00
  19        1.625923E-02        1.915890E-11        2.486644E-01        5.610000E+00
  20        1.404059E-02        1.531530E-11        2.486644E-01        5.610000E+00
  21        1.212694E-02        2.685852E-12        2.486644E-01        5.610000E+00
  22        1.047537E-02        5.147172E-11        2.486644E-01        5.610000E+00
  23        9.049425E-03        3.028422E-11        2.486644E-01        5.610000E+00
  24        7.817981E-03        1.659206E-11        2.486644E-01        5.610000E+00
  25        6.754331E-03        1.531530E-11        2.486644E-01        5.610000E+00
  26        5.835515E-03        1.531530E-11        2.486644E-01        5.610000E+00
  27        5.041759E-03        6.971312E-12        2.486644E-01        5.610000E+00
  28        4.356009E-03        7.938539E-12        2.486644E-01        5.610000E+00
  29        3.763552E-03        2.462608E-11        2.486644E-01        5.610000E+00
  30        3.251687E-03        9.658052E-12        2.486644E-01        5.610000E+00
  31        2.809445E-03        5.450396E-11        2.486644E-01        5.610000E+00
  32        2.427353E-03        5.293987E-11        2.486644E-01        5.610000E+00
  33        2.097229E-03        7.650325E-11        2.486644E-01        5.610000E+00
  34        1.812004E-03        7.347190E-11        2.486644E-01        5.610000E+00
  35        1.565570E-03        7.281287E-12        2.486644E-01        5.610000E+00
  36        1.352652E-03        7.281287E-12        2.486644E-01        5.610000E+00
  37        1.168691E-03        6.315837E-12        2.486644E-01        5.610000E+00
  38        1.009749E-03        1.531530E-11        2.486644E-01        5.610000E+00
  39        8.724228E-04        5.718981E-11        2.486644E-01        5.610000E+00
  40        7.537733E-04        5.718981E-11        2.486644E-01        5.610000E+00
  41        6.512601E-04        6.200018E-11        2.486644E-01        5.610000E+00
  42        5.626887E-04        6.200018E-11        2.486644E-01        5.610000E+00
  43        4.861630E-04        4.499956E-12        2.486644E-01        5.610000E+00
  44        4.200448E-04        8.439471E-12        2.486644E-01        5.610000E+00
  45        3.629187E-04        8.919265E-11        2.486644E-01        5.610000E+00
  46        3.135618E-04        8.075318E-11        2.486644E-01        5.610000E+00
