 Start!

****************************************************
Bisection initization at point A:    0.8000   0.7000
****************************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
====================================================================================
   1        4.192501E+02        5.000000E-02        4.675000E-02        5.000000E-02
   2        2.545795E+00        5.560000E+00        4.675000E-02        5.610000E+00
   3        1.644673E+00        2.954154E+00        2.584585E-01        5.610000E+00
   4        1.171518E+00        1.602152E+00        5.145646E-01        6.000000E+00
   5        8.872330E-01        1.119720E+00        7.051552E-01        6.000000E+00
   6        6.911981E-01        6.194194E-01        7.944945E-01        6.000000E+00
   7        5.570052E-01        4.705205E-01        8.183183E-01        6.000000E+00
   8        4.569167E-01        3.633133E-01        8.183183E-01        6.000000E+00
   9        3.792662E-01        2.382382E-01        8.183183E-01        6.000000E+00
  10        3.174328E-01        1.488989E-01        8.183183E-01        6.000000E+00
  11        2.675486E-01        1.012513E-01        8.183183E-01        6.000000E+00
  12        2.269969E-01        6.551552E-02        8.183183E-01        6.000000E+00
  13        1.935392E-01        4.764765E-02        8.183183E-01        6.000000E+00
  14        1.655616E-01        2.977978E-02        8.183183E-01        6.000000E+00
  15        1.419578E-01        2.382382E-02        8.183183E-01        6.000000E+00
  16        1.219268E-01        1.191191E-02        8.183183E-01        6.000000E+00
  17        1.048615E-01        5.955956E-03        8.183183E-01        6.000000E+00
  18        9.028834E-02        3.094103E-11        8.183183E-01        6.000000E+00
  19        7.781607E-02        8.248513E-12        8.183183E-01        6.000000E+00
  20        6.711634E-02        1.081588E-10        8.183183E-01        6.000000E+00
  21        5.791878E-02        1.875344E-11        8.183183E-01        6.000000E+00
  22        5.000048E-02        1.875344E-11        8.183183E-01        6.000000E+00
  23        4.317605E-02        1.006262E-11        8.183183E-01        6.000000E+00
  24        3.728989E-02        2.356337E-11        8.183183E-01        6.000000E+00
  25        3.221030E-02        3.478462E-11        8.183183E-01        6.000000E+00
  26        2.782507E-02        7.938539E-12        8.183183E-01        6.000000E+00
  27        2.403824E-02        2.806377E-11        8.183183E-01        6.000000E+00
  28        2.076757E-02        2.281064E-11        8.183183E-01        6.000000E+00
  29        1.794235E-02        2.877143E-12        8.183183E-01        6.000000E+00
  30        1.550173E-02        2.881695E-11        8.183183E-01        6.000000E+00
  31        1.339323E-02        6.219025E-12        8.183183E-01        6.000000E+00
  32        1.157161E-02        4.762901E-11        8.183183E-01        6.000000E+00
  33        9.997788E-03        4.647038E-11        8.183183E-01        6.000000E+00
  34        8.638043E-03        2.740697E-11        8.183183E-01        6.000000E+00
  35        7.463244E-03        3.362643E-11        8.183183E-01        6.000000E+00
  36        6.448228E-03        5.968115E-12        8.183183E-01        6.000000E+00
  37        5.571261E-03        1.875344E-11        8.183183E-01        6.000000E+00
  38        4.813565E-03        4.809930E-12        8.183183E-01        6.000000E+00
  39        4.158918E-03        2.356337E-11        8.183183E-01        6.000000E+00
  40        3.593304E-03        3.287370E-11        8.183183E-01        6.000000E+00
  41        3.104614E-03        3.362643E-11        8.183183E-01        6.000000E+00
  42        2.682386E-03        3.747225E-12        8.183183E-01        6.000000E+00
  43        2.317581E-03        1.875344E-11        8.183183E-01        6.000000E+00
  44        2.002390E-03        1.875344E-11        8.183183E-01        6.000000E+00
  45        1.730065E-03        7.938095E-12        8.183183E-01        6.000000E+00
  46        1.494776E-03        6.219025E-12        8.183183E-01        6.000000E+00
  47        1.291486E-03        2.603484E-11        8.183183E-01        6.000000E+00
  48        1.115844E-03        3.231326E-11        8.183183E-01        6.000000E+00
  49        9.640894E-04        3.231326E-11        8.183183E-01        6.000000E+00
  50        8.329732E-04        3.509459E-11        8.183183E-01        6.000000E+00
  51        7.196889E-04        6.971312E-12        8.183183E-01        6.000000E+00
  52        6.218112E-04        1.744027E-11        8.183183E-01        6.000000E+00
  53        5.372449E-04        1.800116E-11        8.183183E-01        6.000000E+00
  54        4.641796E-04        5.268941E-11        8.183183E-01        6.000000E+00
  55        4.010511E-04        2.412381E-11        8.183183E-01        6.000000E+00
  56        3.465082E-04        2.528244E-11        8.183183E-01        6.000000E+00
  57        2.993831E-04        2.912603E-11        8.183183E-01        6.000000E+00
  58        2.586670E-04        6.971312E-12        8.183183E-01        6.000000E+00
  59        2.234883E-04        6.528555E-12        8.183183E-01        6.000000E+00
  60        1.930939E-04        4.262679E-11        8.183183E-01        6.000000E+00
  61        1.668331E-04        7.100009E-11        8.183183E-01        6.000000E+00
  62        1.441438E-04        6.897150E-11        8.183183E-01        6.000000E+00
  63        1.245402E-04        1.744027E-11        8.183183E-01        6.000000E+00
  64        1.076028E-04        1.744027E-11        8.183183E-01        6.000000E+00
  65        9.296879E-05        4.581313E-11        8.183183E-01        6.000000E+00
  66        8.032503E-05        4.859446E-11        8.183183E-01        6.000000E+00
  67        6.940083E-05        2.709788E-11        8.183183E-01        6.000000E+00
  68        5.996232E-05        2.365930E-11        8.183183E-01        6.000000E+00
  69        5.180744E-05        3.533729E-12        8.183183E-01        6.000000E+00
  70        4.476163E-05        1.253486E-11        8.183183E-01        6.000000E+00
  71        3.867405E-05        9.456347E-11        8.183183E-01        6.000000E+00
  72        3.341438E-05        9.137668E-11        8.183183E-01        6.000000E+00
  73        2.887002E-05        3.186784E-12        8.183183E-01        6.000000E+00
  74        2.494370E-05        2.806377E-11        8.183183E-01        6.000000E+00
  75        2.155136E-05        3.706413E-11        8.183183E-01        6.000000E+00
  76        1.862037E-05        2.356337E-11        8.183183E-01        6.000000E+00
  77        1.608800E-05        2.709788E-11        8.183183E-01        6.000000E+00
  78        1.390003E-05        1.719069E-12        8.183183E-01        6.000000E+00
  79        1.200963E-05        2.365930E-11        8.183183E-01        6.000000E+00
  80        1.037632E-05        3.256417E-11        8.183183E-01        6.000000E+00
  81        8.965140E-06        6.971312E-12        8.183183E-01        6.000000E+00
  82        7.745881E-06        2.356337E-11        8.183183E-01        6.000000E+00
  83        6.692441E-06        1.081535E-11        8.183183E-01        6.000000E+00
  84        5.782269E-06        8.171952E-11        8.183183E-01        6.000000E+00
  85        4.995880E-06        7.509460E-11        8.183183E-01        6.000000E+00
  86        4.316441E-06        2.225020E-11        8.183183E-01        6.000000E+00
  87        3.729405E-06        1.456302E-11        8.183183E-01        6.000000E+00
  88        3.222206E-06        9.657164E-12        8.183183E-01        6.000000E+00
  89        2.783986E-06        1.875344E-11        8.183183E-01        6.000000E+00
  90        2.405364E-06        1.744027E-11        8.183183E-01        6.000000E+00
  91        2.078234E-06        1.496847E-11        8.183183E-01        6.000000E+00
  92        1.795594E-06        3.403189E-11        8.183183E-01        6.000000E+00
  93        1.551394E-06        1.562528E-11        8.183183E-01        6.000000E+00
