[  0%]           economybisection.f90
[ 20%]           economybisection.f90  done.
[ 20%]            UsedKCollateral.f90
[ 40%]            UsedKCollateral.f90  done.
[ 40%]           libUsedKCollateral.a
[ 60%]           libUsedKCollateral.a  done.
[ 60%]                       main.f90
[ 80%]                       main.f90  done.
[ 80%]                UsedKCollateral
[100%]                UsedKCollateral  done.
[100%] Project compiled successfully.
 Start!

****************************************************
Bisection initization at point A:    0.8000   0.7000
****************************************************

 value function iteration: W-type (unconstrained)
iter               distw             distgwk                kmin                kmax
====================================================================================
   1        4.192501E+02        5.000000E-02        4.675000E-02        5.000000E-02
   2        2.545612E+00        5.560000E+00        4.675000E-02        5.610000E+00
   3        1.644399E+00        2.975000E+00        2.979167E-01        5.610000E+00
   4        1.171633E+00        1.487500E+00        5.458333E-01        6.000000E+00
   5        8.870927E-01        1.239583E+00        7.937500E-01        6.000000E+00
   6        6.911387E-01        7.437500E-01        7.937500E-01        6.000000E+00
   7        5.569196E-01        4.958333E-01        7.937500E-01        6.000000E+00
   8        4.568209E-01        2.479167E-01        7.937500E-01        6.000000E+00
   9        3.791675E-01        2.479167E-01        7.937500E-01        6.000000E+00
  10        3.173837E-01        2.479167E-01        7.937500E-01        6.000000E+00
  11        2.675798E-01        2.686740E-12        7.937500E-01        6.000000E+00
  12        2.270398E-01        0.000000E+00        7.937500E-01        6.000000E+00
  13        1.935447E-01        3.190781E-11        7.937500E-01        6.000000E+00
  14        1.655223E-01        2.479167E-01        7.937500E-01        6.000000E+00
  15        1.419310E-01        9.309886E-12        7.937500E-01        6.000000E+00
  16        1.219199E-01        1.719513E-12        7.937500E-01        6.000000E+00
  17        1.048688E-01        9.672263E-13        7.937500E-01        6.000000E+00
  18        9.030181E-02        0.000000E+00        7.937500E-01        6.000000E+00
  19        7.782970E-02        5.613288E-13        7.937500E-01        6.000000E+00
  20        6.712831E-02        4.058975E-13        7.937500E-01        6.000000E+00
  21        5.792889E-02        1.062261E-12        7.937500E-01        6.000000E+00
  22        5.000901E-02        9.503509E-14        7.937500E-01        6.000000E+00
  23        4.318336E-02        9.663381E-13        7.937500E-01        6.000000E+00
  24        3.729621E-02        9.663381E-13        7.937500E-01        6.000000E+00
  25        3.221575E-02        0.000000E+00        7.937500E-01        6.000000E+00
  26        2.782974E-02        6.563639E-13        7.937500E-01        6.000000E+00
  27        2.404224E-02        4.058975E-13        7.937500E-01        6.000000E+00
  28        2.077100E-02        0.000000E+00        7.937500E-01        6.000000E+00
  29        1.794530E-02        9.672263E-13        7.937500E-01        6.000000E+00
  30        1.550427E-02        5.608847E-13        7.937500E-01        6.000000E+00
  31        1.339542E-02        5.613288E-13        7.937500E-01        6.000000E+00
  32        1.157350E-02        6.563639E-13        7.937500E-01        6.000000E+00
  33        9.999417E-03        6.563639E-13        7.937500E-01        6.000000E+00
  34        8.639449E-03        6.563639E-13        7.937500E-01        6.000000E+00
  35        7.464458E-03        1.062261E-12        7.937500E-01        6.000000E+00
  36        6.449277E-03        0.000000E+00        7.937500E-01        6.000000E+00
  37        5.572167E-03        1.062261E-12        7.937500E-01        6.000000E+00
  38        4.814348E-03        6.563639E-13        7.937500E-01        6.000000E+00
  39        4.159594E-03        6.563639E-13        7.937500E-01        6.000000E+00
  40        3.593888E-03        0.000000E+00        7.937500E-01        6.000000E+00
  41        3.105118E-03        0.000000E+00        7.937500E-01        6.000000E+00
  42        2.682822E-03        6.563639E-13        7.937500E-01        6.000000E+00
  43        2.317958E-03        6.563639E-13        7.937500E-01        6.000000E+00
  44        2.002715E-03        6.563639E-13        7.937500E-01        6.000000E+00
  45        1.730346E-03        5.608847E-13        7.937500E-01        6.000000E+00
  46        1.495019E-03        9.672263E-13        7.937500E-01        6.000000E+00
  47        1.291696E-03        9.663381E-13        7.937500E-01        6.000000E+00
  48        1.116026E-03        0.000000E+00        7.937500E-01        6.000000E+00
  49        9.642461E-04        9.663381E-13        7.937500E-01        6.000000E+00
  50        8.331086E-04        1.062261E-12        7.937500E-01        6.000000E+00
  51        7.198059E-04        9.672263E-13        7.937500E-01        6.000000E+00
  52        6.219123E-04        9.503509E-14        7.937500E-01        6.000000E+00
  53        5.373322E-04        9.663381E-13        7.937500E-01        6.000000E+00
  54        4.642550E-04        9.663381E-13        7.937500E-01        6.000000E+00
  55        4.011163E-04        1.157296E-12        7.937500E-01        6.000000E+00
  56        3.465645E-04        1.062261E-12        7.937500E-01        6.000000E+00
  57        2.994317E-04        9.672263E-13        7.937500E-01        6.000000E+00
  58        2.587090E-04        9.672263E-13        7.937500E-01        6.000000E+00
  59        2.235246E-04        0.000000E+00        7.937500E-01        6.000000E+00
  60        1.931252E-04        4.058975E-13        7.937500E-01        6.000000E+00
  61        1.668602E-04        5.613288E-13        7.937500E-01        6.000000E+00
  62        1.441672E-04        9.672263E-13        7.937500E-01        6.000000E+00
  63        1.245605E-04        0.000000E+00        7.937500E-01        6.000000E+00
  64        1.076203E-04        0.000000E+00        7.937500E-01        6.000000E+00
  65        9.298390E-05        9.672263E-13        7.937500E-01        6.000000E+00
  66        8.033809E-05        5.613288E-13        7.937500E-01        6.000000E+00
  67        6.941211E-05        6.563639E-13        7.937500E-01        6.000000E+00
  68        5.997206E-05        0.000000E+00        7.937500E-01        6.000000E+00
  69        5.181586E-05        0.000000E+00        7.937500E-01        6.000000E+00
  70        4.476891E-05        1.062261E-12        7.937500E-01        6.000000E+00
  71        3.868033E-05        5.608847E-13        7.937500E-01        6.000000E+00
  72        3.341981E-05        5.608847E-13        7.937500E-01        6.000000E+00
  73        2.887471E-05        9.672263E-13        7.937500E-01        6.000000E+00
  74        2.494775E-05        0.000000E+00        7.937500E-01        6.000000E+00
  75        2.155486E-05        0.000000E+00        7.937500E-01        6.000000E+00
  76        1.862340E-05        0.000000E+00        7.937500E-01        6.000000E+00
  77        1.609062E-05        9.672263E-13        7.937500E-01        6.000000E+00
  78        1.390229E-05        0.000000E+00        7.937500E-01        6.000000E+00
  79        1.201158E-05        0.000000E+00        7.937500E-01        6.000000E+00
  80        1.037801E-05        0.000000E+00        7.937500E-01        6.000000E+00
  81        8.966597E-06        0.000000E+00        7.937500E-01        6.000000E+00
  82        7.747140E-06        0.000000E+00        7.937500E-01        6.000000E+00
  83        6.693529E-06        5.608847E-13        7.937500E-01        6.000000E+00
  84        5.783209E-06        5.608847E-13        7.937500E-01        6.000000E+00
  85        4.996692E-06        0.000000E+00        7.937500E-01        6.000000E+00
  86        4.317142E-06        0.000000E+00        7.937500E-01        6.000000E+00
  87        3.730011E-06        0.000000E+00        7.937500E-01        6.000000E+00
